no,kod_masco,tajuk_pekerjaan
612,2146,"Jurutera Perlombongan, Ahli Kaji Logam Dan Profesional Yang Berkaitan"
613,2146-01,Jurutera Perlombongan
614,2146-02,"Jurutera Perlombongan, Logam"
615,2146-03,"Jurutera Perlombongan, Batu Arang"
616,2146-04,"Jurutera Perlombongan, Bukan Logam"
617,2146-05,"Jurutera Perlombongan, Intan"
618,2146-06,"Jurutera Perlombongan, Petroleum"
619,2146-08,Jurutera Ujian Logam
620,2146-09,Ahli Kaji Logam
621,2146-15,Ahli Teknologi Ekstraktif
622,2146-16,Penguji Logam
623,2146-17,Jurutera Minyak dan Gas Asli
624,2146-24,Ketua Bahagian Marin
625,2146-32,Jurutera Wellsite (Perancangan)
626,2146-40,Jurutera Bahan dan Logam
627,2146-41,Jurutera Hidraulik
628,2146-42,Jurutera Pengurusan Air
629,2146-43,Jurutera Rekabentuk Produk Pembangunan dan Penyelidikan Perlombongan
630,2146-44,Jurutera Kesediaan dan Jaminan Operasi
631,2146-45,Jurutera Mekanikal Saluran Paip
632,2146-48,Jurutera Tekanan Saluran Paip
633,2146-49,Pakar Letupan (Lombong)
634,2146-54,Pakar Perkhidmatan Protokol Kawalan Transmisi
635,2146-55,Jurutera Mud
636,2149,Profesional Kejuruteraan (Tidak Termasuk Elektroteknologi) Yang Tidak Dikelaskan Di Mana-Mana
637,2149-01,Jurutera Bahan Peletupan
638,2149-02,Jurutera Penyelamat Marin
639,2149-03,Jurutera Nuklear
640,2149-07,Jurutera Kesihatan dan Keselamatan Perindustrian
641,2149-09,Jurutera Kualiti
642,2149-10,Pemeriksa Kilang dan Jentera
643,2149-13,Jurutera Perkhidmatan Lapangan
644,2149-18,Jurutera Penyelidikan
645,2149-19,Jurutera Biomedikal
646,2149-20,Jurutera Optik
647,2149-21,Jurutera Pemeriksa Jaminan Kualiti atau Kawalan Kualiti (QA atau QC)
648,2149-22,Pemeriksa Kilang dan Jentera Gred J41
649,2149-23,Jurutera Komisen
650,2149-24,Jurutera Nano
651,215,Jurutera Elektroteknologi
652,2151,Jurutera Elektrik
653,2151-01,Ahli Teknologi Kejuruteraan Elektrik
654,2151-02,Jurutera Elektrik
655,2151-25,Jurutera Media Proses
656,2151-29,Penguji atau Jurutera Ukuran (Elektrik)
657,2151-34,Jurutera Penyelidikan dan Pembangunan Reka bentuk Elektrik
658,2151-35,Juruaudit Tenaga Elektrik
659,2151-36,Penguasa Elektrik
660,2152,Jurutera Elektronik
661,2152-01,Ahli Teknologi Kejuruteraan Elektronik
662,2152-02,Jurutera Elektronik
663,2152-19,Pereka Papan Sistem Tertanam
664,2152-23,Pereka Litar Bersepadu Analog (IC)
665,2152-31,Jurutera Proses Wafer Fabrikasi Elektronik
666,2152-32,Penguji atau Jurutera Ukuran (Elektronik)
667,2152-36,Jurutera Pemasangan Proses Pakej Litar Bersepadu (IC)
668,2152-44,Jurutera Wintel (Elektronik)
669,2152-45,Pegawai Elektroteknikal
670,2153,Jurutera Telekomunikasi
671,2153-01,Jurutera Telekomunikasi
672,2153-17,Jurutera Rangkaian Teras Perkhidmatan Jaminan
673,2153-23,Jurutera Sistem dan Rangkaian
674,2153-28,Jurutera Sistem Bunyi
675,2153-30,Jurutera Akustik
676,2153-31,Saintis Komunikasi
677,216,"Arkitek, Perancang, Juruukur, Dan Pereka"
678,2161,Arkitek Bangunan
679,2161-01,Arkitek Gred J41
680,2161-02,Arkitek
681,2161-03,Arkitek Dalaman
682,2161-06,Arkitek Gred 23
683,2162,Arkitek Landskap
684,2162-01,Arkitek Landskap Gred J41
685,2162-02,Arkitek Landskap
686,2163,Pereka Produk Dan Pakaian
687,2163-01,Pereka Produk Komersil
688,2163-19,Pereka Teknologi Terma Solar
689,2163-23,Pereka Teknologi Biomass
690,2163-24,Pereka Hidro Teknologi
691,2163-26,Pereka Profesional Teknologi Hijau
692,2163-31,Pakar Analisis Produk dan Rekaan
693,2164,Perancang Bandar Dan Trafik
694,2164-01,Pegawai Perancang Bandar dan Desa Gred J41
695,2164-02,Perancang Bandar
696,2164-03,Perancang Bandar dan Luar Bandar
697,2164-04,Jurutera Trafik
698,2164-05,Perancang Trafik
699,2164-06,Perancang Tanah
700,2164-07,Perancang Bandar dan Wilayah
701,2165,Pelukis Peta Dan Juruukur
702,2165-01,Jurugeospatial Gred J41
703,2165-02,Juruukur Gred J41
704,2165-03,Jurukartografi
705,2165-07,Juruukur
706,2166,Pereka Grafik Dan Multimedia
707,2166-01,Pereka Gred B41
708,2166-02,Pereka Laman E-Dagang
709,2166-03,Pereka Gred B43
710,2166-04,Pereka Gred B47
711,2166-05,Pereka Gred B51
712,2166-06,Pereka Gred B53
713,217,"Pengawal Kapal, Pesawat, Dan Kereta Api/ Lokomotif"
714,2171,Jurutera Kapal
715,2171-01,Jurutera Kapal
716,2171-02,Jurutera Marin
717,2171-05,Arkitek Kapal
718,2171-07,Ketua Jurutera (Marin)
719,2172,Pegawai Dan Pilot Dek Kapal
720,2172-01,Pegawai Laut Gred AL41
721,2172-03,Jurumudi Hoverkraf
722,2172-05,Kapten Pelabuhan
723,2172-07,Jurumudi Kapal
724,2172-10,Superintenden Marin (Dek)
725,2172-11,Eksekutif Perkapalan
726,2173,Juruterbang Pesawat Udara Dan Profesional Yang Berkaitan
727,2173-01,Juruterbang/ Pemeriksa Juruterbang Gred AT41
728,2173-02,Pemeriksa Kapal Terbang Gred AT41
729,2173-03,Juruterbang
730,2173-05,Pengajar Penerbangan
731,2173-10,Jurutera Pereka Pesawat
732,2173-11,Jurutera Aeronautik
733,2173-12,Juruterbang/Pemeriksa Juruterbang Gred AT43
734,2173-13,Juruterbang/Pemeriksa Juruterbang Gred AT47
735,2173-14,Juruterbang/Pemeriksa Juruterbang Gred AT51
736,2173-15,Juruterbang/Pemeriksa Juruterbang Gred AT53
737,2173-16,Pemeriksa Kapal Terbang Gred AT43
738,2173-17,Pemeriksa Kapal Terbang Gred AT47
739,2173-18,Pemeriksa Kapal Terbang Gred AT51
740,2173-19,Pemeriksa Kapal Terbang Gred AT53
741,2173-20,Kakitangan Kajian Kelayakan Udara
742,2173-22,Pegawai Penerbangan Marin
743,2173-23,Jurutera Penyelenggaraan Pesawat Berlesen
744,2174,Pengawal Trafik Udara
745,2174-01,Pegawai Kawalan Trafik Udara Gred A41
746,2174-02,Pengawal Trafik Udara
747,2174-03,Pengawal Pusat Operasi
748,2174-04,Pegawai Kargo Udara
749,2174-05,"Eksekutif Perancangan Bengkel, Pesawat"
750,2174-06,"Eksekutif Rekod Teknikal, Pesawat"
751,2174-07,"Pentadbir Rekod Teknikal, Pesawat"
752,2174-08,"Pengawal Bahan Kanan, Pesawat"
753,2175,Pengawal Kereta Api/ Lokomotif
754,2175-01,Pegawai Operasi Kereta api dan Lokomotif
755,2179,Pengawal Pengangkutan Yang Tidak Dikelaskan Di Mana-Mana
756,2179-01,Juruterbang Drone
757,218,"Profesional Perlombongan, Pembuatan, Dan Pembinaan"
758,2181,Profesional Perlombongan
759,2181-01,Eksekutif Perlombongan
760,2182,Profesional Pembuatan
761,2182-01,Eksekutif Pembuatan
762,2182-02,Eksekutif Jaminan Kualiti
763,2182-03,Juruanalisis Jaminan Kualiti
764,2182-07,Eksekutif Stor
765,2182-12,Pengawal Kualiti Produk
766,2182-15,Pegawai Jaminan Mutu Gred P3
767,2182-17,Penguasa Dandang
768,2182-18,Pakar Rantaian Bekalan-Perolehan
769,2182-20,"Eksekutif Pengeluaran, Pengilangan Makanan Halal"
770,2182-21,"Eksekutif Jaminan Kualiti, Pemprosesan Daging Halal"
771,2182-29,Penasihat Perkhidmatan Teknikal
772,2182-30,"Juruanalisis Produk, Industri Halal"
773,2182-31,Pakar Bahan
774,2182-33,Eksekutif Pembangunan Produk
775,2182-35,Perunding Produk
776,2182-42,"Pakar Proses, Pengguna Gaya Hidup"
777,2182-44,Penganalisis Produk dan Kimia
778,2182-46,Juruanalisis Laporan
779,2182-49,Pakar Pencetakan
780,2182-51,Penyelaras Pengenalan Produk Baharu
781,2182-52,"Eksekutif Kawalan Kualiti, Produk Halal"
782,2182-53,Juruanalisis Penyaringan
783,2182-54,"Eksekutif Jaminan Kualiti, Pembuatan Makanan Halal"
784,2182-55,Penyelaras Inventori
785,2183,Profesional Pembinaan
786,2183-01,Eksekutif Binaan
787,2183-05,Sistem Pengurusan Aset Rutin (SPA Eksekutif)
788,22,Profesional Kesihatan
789,221,Doktor Perubatan
790,2211,Pengamal Perubatan Umum
791,2211-01,Pegawai Perubatan Gred UD41
792,2211-02,Doktor Perubatan
793,2211-03,Pegawai Perubatan
794,2211-07,Doktor Perubatan Ginekologi
795,2211-08,Doktor Perubatan Kardiologi
796,2211-10,Doktor Perubatan Obstetrik
797,2211-11,Doktor Perubatan Oftalmologi
798,2211-12,Doktor Perubatan Psikiatri
799,2211-13,Doktor Perubatan Radiologi
800,2211-18,Doktor Kulit
801,2211-19,Pegawai Perubatan Gred UD43/UD47
802,2211-20,Pegawai Perubatan Gred UD43
803,2211-21,Pegawai Perubatan Gred UD47
804,2211-22,Pegawai Perubatan Gred UD51
805,2211-23,Pegawai Perubatan Gred UD53
806,2211-24,Pegawai Perubatan Gred 23
807,2211-25,Doktor Pengurusan Perniagaan Perubatan
808,2211-26,Pegawai Kawalan Infeksi
809,2211-28,"Doktor Perubatan, Integratif"
810,2212,Pengamal Perubatan Pakar
811,2212-01,"Pakar Telinga, Hidung dan Kerongkong"
812,2212-02,Pakar Jantung
813,2212-03,Pakar Mata
814,2212-04,Pakar Anestetik
815,2212-05,Pakar Anestetik Jantung
816,2212-06,Pakar Onkologi Perubatan
817,2212-07,Pakar Onkologi Radioterapi
818,2212-08,Pakar Psikiatri
819,2212-09,Pakar Oftalmologi
820,2212-10,Pakar Kardiologi
821,2212-11,Pakar Neurologi
822,2212-12,Pakar Ginekologi
823,2212-13,Pakar Ginekologi dan Obstetrisian
824,2212-14,Pakar Ginekologi Kesuburan dan Obstetrisian
825,2212-16,Pakar Ginekologi Perubatan Fetomaternal dan Obstetrisian
826,2212-17,Pakar Bedah
827,2212-24,Pakar Bedah Pediatrik
828,2212-26,Pakar Bedah Plastik dan Pembinaan Semula
829,2212-32,Pakar Bedah Vaskular
830,2212-33,Pakar Dermatologi
831,2212-34,Pakar Ortopedik
832,2212-35,Pakar Otolaringologi
833,2212-36,Pakar Pediatrik
834,2212-44,Pakar Perubatan
835,2212-55,Pakar Podiatri
836,2212-56,Pakar Prostetik
837,2212-57,Pakar Radiologi
838,2212-58,Pakar Radiologi Diagnostik
839,2212-59,Pakar Radiologi Intervensional
840,2212-60,Pakar Radiologi Perubatan Nuklear
841,2212-61,Pakar Radiologi Radioterapi
842,2212-62,Pakar Urologi
843,2212-63,Pakar Venereologi
844,2212-64,Pakar Osteopati
845,2212-68,Pegawai Perubatan Pakar Gred UD55
846,2212-69,Pakar Klinik Pematuhan Terapi Ubat (MTA)
847,2212-70,Pakar Kiropodi
848,222,Profesional Kejururawatan Dan Perbidanan
849,2221,Profesional Kejururawatan
850,2221-01,Jururawat Gred U41
851,2221-02,Jururawat Profesional
852,2221-09,Jururawat Pakar
853,2221-10,Instruktor Jururawat
854,2222,Profesional Perbidanan
855,2222-01,Jururawat Perbidanan Profesional
856,223,Profesional Perubatan Tradisional Dan Komplementari
857,2231,Ahli Perubatan Tradisional Dan Komplementari
858,2231-01,Profesional Pengamal Perubatan Traditional
859,2231-02,Ahli Perubatan Traditional
860,2231-07,Pengamal Perubatan Herba
861,224,Pengamal Paramedik
862,2241,Pengamal Paramedik
863,2241-01,Paramedik
864,225,Pakar Veterinar
865,2251,Pakar Veterinar
866,2251-01,Pegawai Veterinar Gred GV41
867,2251-02,Pakar Veterinar
868,2251-03,Pakar Epidemiologi Veterinar
869,2251-08,Pegawai Veterinar
870,226,Profesional Kesihatan Lain
871,2261,Doktor Pergigian
872,2261-01,Pegawai Pergigian Gred UG41
873,2261-02,Doktor Pergigian
874,2261-17,Pakar Bedah Mulut dan Maksilofasial
875,2261-18,Ahli Patologi Mulut
876,2262,Ahli Farmasi
877,2262-01,Pegawai Farmasi Gred UF41
878,2262-02,Ahli Farmasi
879,2262-06,Ahli Kimia Pendispensan
880,2262-07,Pegawai Farmasi Gred UF44
881,2262-08,Juruanalisis Farmakokinetik
882,2263,Profesional Persekitaran Dan Kesihatan Pekerjaan Dan Kebersihan
883,2263-01,Pegawai Kesihatan Persekitaran Gred U41
884,2263-06,Pegawai Kesihatan dan Keselamatan Pekerjaan
885,2263-20,Penasihat Kesihatan dan Keselamatan Pekerjaan
886,2263-24,Orang Yang Kompeten (OYK) - Penguji Gas Bertauliah dan Penyelia Kemasukan
887,2263-25,Orang Yang Kompeten (OYK) - Penaksir Kualiti Udara Dalaman (IAQ)
888,2263-27,Orang Yang Kompeten (OYK) - Pengapit
889,2263-28,Orang Kompeten Pengurusan Sisa
890,2263-29,Juruaudit Bangunan
891,2263-30,Pegawai Teknologi Makanan Gred C41
892,2263-31,Eksekutif Halal
893,2263-32,"Eksekutif Halal, Pengilangan Makanan Halal"
894,2263-33,"Eksekutif Halal, Rumah Sembelih"
895,2263-34,"Eksekutif Halal, Pemprosesan Daging"
896,2263-35,"Eksekutif Halal, Operasi Logistik"
897,2263-37,Ahli Teknologi Makanan dan Minuman
898,2263-40,"Pegawai Penguatkuasaan, Industri Halal"
899,2263-41,Jurutera Tapak Pelupusan
900,2263-43,Orang Yang Kompeten (OYK) - Lif Gred 1
901,2263-44,Orang Yang Kompeten (OYK) - Major Hazard
902,2263-48,Penyelaras Tindak Balas Kecemasan
903,2263-49,Ahli Ergonomi
904,2263-50,Penguji Gas Bertauliah & Penyelia Kemasukan
905,2264,Jurupulih Anggota
906,2264-01,Pegawai Pemulihan Perubatan Gred U41
907,2264-02,Jurupulih Perubatan
908,2264-07,Tukang Urut Terapeutik
909,2264-09,Juruterapi Fizikal Geriatrik
910,2264-11,Juruterapi Fizikal Ortopedik
911,2264-12,Pengajar Jurupulih Anggota
912,2264-13,Pegawai Jurupulih Anggota Gred 23
913,2264-15,Kiropraktor
914,2264-16,Osteopati
915,2265,Pegawai Diet Dan Pegawai Nutrisi
916,2265-01,Pegawai Dietetik Gred U41
917,2265-02,Pakar Dietetik
918,2265-06,Pakar Nutrisi
919,2265-14,Pegawai Penyediaan Makanan Gred C41
920,2266,Pegawai Audiologi Dan Jurupulih Pertuturan
921,2266-01,Pegawai Audiologi
922,2266-02,Jurupulih Pertuturan
923,2266-03,Pakar Ortoepi
924,2266-05,Jurupulih Bahasa
925,2267,Optometris
926,2267-01,Pegawai Optometri Gred U41
927,2267-02,Optometris
928,2267-05,Pakar Ortoptik
929,2267-06,Jurupulih Orang Buta
930,2268,Jurupulih Pekerjaan
931,2268-01,Jurupulih Pekerjaan
932,2268-02,Pegawai Jurupulih Kerja Gred 23
933,2268-03,Pengurus Kes Gred 23
934,2269,Profesional Kesihatan Yang Tidak Dikelaskan Di Mana-Mana
935,2269-01,Juru X-Ray Gred U41
936,2269-02,Pengajar Gred U41
937,2269-04,Pakar Perfusi
938,2269-05,Penolong Pegawai Perubatan Gred U41
939,2269-09,Penyelaras Ujian Klinikal
940,2269-10,Juruanalisis Penjagaan Kesihatan
941,2269-11,Ahli Terapi Radiasi Perubatan
942,2269-12,Ahli Teknologi Perubatan Nuklear
943,2269-13,Ahli Kinesiologi
944,23,Profesional Perguruan
945,231,Profesional Perguruan Universiti Dan Pendidikan Tinggi
946,2311,Profesional Perguruan Universiti Dan Pendidikan Tinggi
947,2311-01,Pensyarah Universiti Gred DS45
948,2311-02,Pensyarah Perubatan Gred DU51P
949,2311-03,Pensyarah UiTM Gred DM41
950,2311-04,Penolong Pensyarah UiTM Gred DM29
951,2311-05,Pensyarah Pergigian Gred DUG51P
952,2311-06,Pegawai Pendidikan Pengajian Tinggi Gred DH41
953,2311-07,Pegawai Pendidikan Pengajian Tinggi Gred DH29
954,2311-08,Pensyarah
955,2311-09,Tutor
956,2311-17,Pensyarah Farmasi Gred DUF45
957,2311-18,Pegawai Pendidikan Pengajian Tinggi Gred DH31
958,2311-19,Pegawai Pendidikan Pengajian Tinggi Gred DH33
959,2311-20,Pegawai Pendidikan Pengajian Tinggi Gred DH39
960,2311-21,Pegawai Pendidikan Pengajian Tinggi Gred DH43
961,2311-22,Pegawai Pendidikan Pengajian Tinggi Gred DH47
962,2311-23,Pegawai Pendidikan Pengajian Tinggi Gred DH51
963,2311-24,Pegawai Pendidikan Pengajian Tinggi Gred DH53
964,2311-25,Pensyarah UiTM Gred DM45
965,2311-26,Pensyarah UiTM Gred DM51
966,2311-27,Pensyarah UiTM Gred DM53
967,2311-28,Pensyarah Universiti Gred DS51
968,2311-29,Pensyarah Universiti Gred DS53
969,2311-30,Pensyarah Perubatan Gred DU51
970,2311-31,Pensyarah Perubatan Gred DU53
971,2311-32,Pensyarah Pergigian Gred DUG51
972,2311-33,Pensyarah Pergigian Gred DUG53
973,2311-34,Pensyarah Farmasi Gred DUF51
974,2311-35,Pensyarah Farmasi Gred DUF53
975,2311-36,Pensyarah UiTM Gred Khas C
976,2311-37,Pensyarah Universiti Gred Khas C
977,2311-38,Pensyarah Perubatan Gred DU55
978,2311-39,Pensyarah Perubatan Gred Khas C
979,2311-40,Pensyarah Pergigian Gred DUG55
980,2311-41,Pensyarah Pergigian Gred Khas C
981,2311-42,Pensyarah Farmasi Gred Khas C
982,232,Guru Pendidikan Vokasional
983,2321,Guru Pendidikan Vokasional
984,2321-02,Guru Vokasional
985,233,Guru Pendidikan Menengah
986,2331,Guru Pendidikan Menengah
987,2331-01,Pegawai Perkhidmatan Pendidikan Siswazah Gred DG41
988,2331-02,Guru Pendidikan Menengah
989,2331-05,Pegawai Perkhidmatan Pendidikan Gred DG41
990,234,Guru Sekolah Rendah Dan Pendidikan Awal Kanak-Kanak
991,2341,Guru Sekolah Rendah
992,2341-01,Pegawai Perkhidmatan Pendidikan Lepasan Diploma Gred DGA29
993,2341-02,Guru Sekolah Rendah
994,2341-03,Pegawai Perkhidmatan Pendidikan Gred DG29
995,2342,Guru Pendidikan Awal Kanak-Kanak
996,2342-03,Guru Pra-Sekolah
997,235,"Guru Muzik, Seni, Dan Seni Persembahan"
998,2351,Guru Muzik
999,2351-01,Guru Muzik
1000,2352,Guru Seni
1001,2352-01,Guru Seni Halus
1002,2352-03,Guru Lukisan
1003,2353,Guru Seni Persembahan
1004,2353-01,Guru Peragaan
1005,2353-02,Guru Tari
1006,2353-03,Guru Drama
1007,236,Guru Bahasa
1008,2361,Guru Bahasa
1009,2361-01,Guru Bahasa Gred DG41
1010,2361-06,Guru Bahasa
1011,237,Guru Agama
1012,2371,Guru Agama
1013,2371-02,Guru Pengajian Islam
1014,2371-03,Guru Pengajian Agama Lain
1015,238,Pengajar Kemahiran Teknologi Dan Teknikal
1016,2381,Pegawai Latihan Vokasional
1017,2381-01,Pegawai Latihan Vokasional Gred DV41
1018,2381-02,Pengajar Latihan Kemahiran
1019,2381-03,Penolong Pegawai Latihan Vokasional Gred DV29
1020,2381-04,Pegawai Latihan Gred E41
1021,2381-05,Penolong Pegawai Latihan Gred E29
1022,2381-06,Penolong Pegawai Latihan Vokasional Gred DV35
1023,2381-07,Penolong Pegawai Latihan Vokasional Gred DV37
1024,2381-08,Penolong Pegawai Latihan Vokasional Gred DV39
1025,2381-09,Pegawai Latihan Vokasional Gred DV43
1026,2381-10,Pegawai Latihan Vokasional Gred DV47
1027,2381-11,Pegawai Latihan Vokasional Gred DV51
1028,2381-12,Pegawai Latihan Vokasional Gred DV53
1029,239,Profesional Perguruan Lain
1030,2391,Pakar Kaedah Pendidikan
1031,2391-01,Pembangun Kurikulum
1032,2391-02,Pakar Kaedah Pendidikan
1033,2391-03,Nazir Sekolah
1034,2391-08,Penyelidik Sistem Pendidikan
1035,2391-12,Pendidik
1036,2392,Guru Pendidikan Khas
1037,2392-07,Guru Pembelajaran Pengajian Khas Untuk Orang Cacat
1038,2393,Jurulatih Teknologi Maklumat
1039,2393-01,Fasilitator Arahan Satelit
1040,2393-03,Jurulatih Perisian
1041,2399,Profesional Perguruan Yang Tidak Dikelaskan Di Mana-Mana
1042,2399-01,Pegawai Kesatria Gred S41
1043,2399-02,Kaunselor Pendidikan
1044,2399-06,Guru Tuisyen
1045,2399-07,Guru Sukan
1046,2399-08,Guru Sekolah Swasta
1047,2399-11,Guru
1048,24,Profesional Perniagaan Dan Pentadbiran
1049,241,Profesional Kewangan
1050,2411,Akauntan Dan Juruaudit
1051,2411-01,Akauntan Gred WA41
1052,2411-02,Pegawai Eksekutif (Perakaunan) Gred 41
1053,2411-03,Pegawai Eksekutif (Perakaunan) Gred 9
1054,2411-04,Pegawai Eksekutif (Perakaunan) Gred L5
1055,2411-06,Akauntan
1056,2411-09,Perunding Cukai
1057,2411-18,Pengawal Kos
1058,2411-19,Akauntan Bertauliah
1059,2411-20,Pengawal Kewangan
1060,2411-23,Juruaudit Gred W41
1061,2411-24,Pegawai Eksekutif (Pengauditan) Gred 41
1062,2411-25,Juruaudit
1063,2411-28,Pegawai Eksekutif (Pengauditan) Gred 9
1064,2411-29,Pegawai Eksekutif (Pengauditan) Gred L5
1065,2411-30,Eksekutif Gaji
1066,2411-35,Akauntan Drilling
1067,2411-36,Ajuster
1068,2411-37,Juruaudit Dalaman
1069,2411-38,Akauntan Forensik
1070,2411-39,Penganggar Kos
1071,2411-40,"Juruaudit, Industri Halal"
1072,2411-41,Pegawai Eksekutif Akaun
1073,2411-43,Akauntan Gred WA47
1074,2411-44,Akauntan Gred WA51
1075,2411-45,Akauntan Gred WA53
1076,2411-46,Akauntan Gred 23
1077,2411-47,Pentadbir dan Eksekutif Akaun
1078,2411-49,Juruanalisis Akaun
1079,2411-50,Pakar Strategi Teknologi (Akauntan)
1080,2411-51,Juruanalisis Kos
1081,2411-53,Penganalisis Pengurusan Perakaunan Am
1082,2412,Penasihat Kewangan Dan Pelaburan
1083,2412-01,Pegawai Kewangan Gred W41
1084,2412-02,Pegawai Eksekutif (Kewangan) Gred L5
1085,2412-03,Penasihat Kewangan Korporat
1086,2412-07,Eksekutif Pegawai Bank
1087,2412-09,Perancang Estet
1088,2412-10,Eksekutif Hartanah
1089,2412-14,Pegawai Penilaian Gred W41
1090,2412-15,Pegawai Kewangan
1091,2412-17,Eksekutif Pajakan
1092,2412-18,Pegawai Tadbir (Pelaburan) Gred N48
1093,2412-19,Perunding Kewangan
1094,2412-21,Perunding Pengurusan Modal Insan (HCM)
1095,2412-22,Pakar Bancassurance
1096,2412-23,Pakar Pengurusan Modal Kerja
1097,2412-24,Pakar Tender/Bid
1098,2413,Juruanalisis Kewangan
1099,2413-01,Juruanalisis Kewangan
1100,2413-07,Juruanalisis Hutang
1101,2413-10,Penganalisis Ekuiti
1102,2413-11,Pegawai Pengurusan Risiko
1103,2413-13,Pegawai Risiko Operasi
1104,2413-15,Pemodel Resiko
1105,2413-18,Penganalisis Laporan Kewangan
1106,2413-19,Eksekutif Pengurusan Risiko Kredit
1107,2413-23,Juruanalisis Perakaunan Bank
1108,2413-24,Jurutera Pengurusan Risiko
1109,2413-26,Juruanalisis Bayaran Akaun
1110,2413-27,Juruanalisis Perakaunan
1111,2413-28,Juruanalisis Penyelesaian
1112,2413-30,Juruanalisis
1113,2413-35,Juruanalisis Pengurusan Aset
1114,2413-41,Juruanalisis Pampasan dan Faedah
1115,242,Profesional Pentadbiran
1116,2421,Juruanalisis Pengurusan Dan Organisasi
1117,2421-01,Juruanalisis Pengelolaan dan Kaedah
1118,2421-03,Juruanalisis Penyelidikan Operasi
1119,2421-04,Perunding Pengurusan
1120,2421-06,Juruanalisis Strategi
1121,2421-07,Penyelidik Pasaran-Penganalisis Perniagaan (Organisasi)
1122,2421-08,Perunding Francais
1123,2421-12,Juruanalisis Derivatif Pertukaran Asing
1124,2421-15,Juruanalisis Pemprosesan Transaksi
1125,2421-16,Pakar Perancangan
1126,2421-21,Juruanalisis Projek
1127,2421-22,Juruanalisis Penyelidikan Unit Penyiasatan Am (GIU)
1128,2421-24,Perunding Penyelesaian
1129,2421-25,Pakar Penyelesaian
1130,2421-26,Juruanalisis Komoditi
1131,2421-27,Eksekutif Perancangan
1132,2421-30,Ketua Juruanalisis Kontrak
1133,2422,Profesional Pentadbiran Dasar
1134,2422-01,Pegawai Tadbir dan Diplomatik Gred M41
1135,2422-02,Juruanalisis Dasar
1136,2423,Profesional Personel Dan Kerjaya
1137,2423-01,Pegawai Keselamatan Personel
1138,2423-05,Juruanalisis Pekerjaan
1139,2423-08,Pegawai Bimbingan Pekerjaan
1140,2423-09,Penasihat Kerjaya
1141,2423-10,Pendamai Perhubungan Pengurusan Buruh
1142,2423-12,Pakar Sumber Manusia
1143,2423-13,Kaunselor Bimbingan Vokasional
1144,2423-19,Pakar Pengurusan Bakat
1145,2423-20,Pakar Latihan
1146,2423-22,Eksekutif Latihan Industri Halal
1147,2423-24,Pegawai Pengambilan Pelajar
1148,2423-26,Perunding Imej
1149,2423-28,Penasihat Pendaftaran
1150,2423-29,Pakar Pembelajaran Digital
1151,2424,Profesional Pembangunan Latihan Dan Kakitangan
1152,2424-01,Pegawai Latihan Kakitangan
1153,2424-02,Pegawai Latihan Kakitangan Vokasional
1154,2424-03,Pakar Pembangunan Guna Tenaga
1155,2424-04,Pembangun Latihan
1156,2424-05,Pegawai Latihan Industri Halal
1157,2424-06,Jurulatih Berpengalaman
1158,2424-07,Jurulatih Peningkatan Berterusan
1159,2424-08,Pakar Penambahbaikan Berterusan
1160,2425,Profesional Pentadbiran
1161,2425-01,Pegawai Tadbir Gred N41
1162,2425-02,Pegawai Eksekutif (Pentadbiran) Gred 41
1163,2425-03,Pegawai Eksekutif (Pentadbiran) Gred L5
1164,2425-04,Pegawai Suruhanjaya Perkhidmatan Awam
1165,2425-07,Pegawai Eksekutif Badan Berkanun
1166,2425-08,Eksekutif Pentadbiran
1167,2425-09,Pendaftar Kolej/Universiti
